,kunnr,xref_x,xref_label,xref_y,rank
304,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
305,2002213981,FABRIC,FABRIC,FABRIC,2
306,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
307,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
308,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
309,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
310,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
311,2002213853,BABY,others,PHC,3
312,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
313,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
314,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
315,2002213896,MULTI GROH,MULTI GROH,MULTI GROH,2
316,2002214045,BEAUTY,others,BEAUTY,1
317,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
318,2002213918,UNIDENTIFI,others,others,3
319,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
320,2002213879,APPLIANCE,APPLIANCE,APPLIANCE,6
321,2002214045,BEAUTY,others,BEAUTY,1
322,2002214045,BEAUTY,others,BEAUTY,1
323,2002214045,BEAUTY,others,BEAUTY,1
324,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
325,2002214045,BEAUTY,others,BEAUTY,1
326,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
327,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
328,2002213931,MULTI GROC,MULTI GROC,MULTI GROC,2
329,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
330,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
331,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
332,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
333,2002213931,FAMILY,FAMILY,FAMILY,3
334,2002213918,UNIDENTIFI,others,others,3
335,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
336,2002253256,PHC,others,PHC,1
337,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
338,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
339,2002214045,BEAUTY,others,BEAUTY,1
340,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
341,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
342,2002214045,BEAUTY,others,BEAUTY,1
343,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
344,2002213918,UNIDENTIFI,others,others,3
345,2002213918,UNIDENTIFI,others,others,3
346,2002213887,MULTI GROH,MULTI GROH,MULTI GROH,7
347,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
348,2002214045,FAMILY,others,BEAUTY,1
349,2002213887,MULTI GROH,MULTI GROH,MULTI GROH,7
350,2002214045,BEAUTY,others,BEAUTY,1
351,2002214045,BEAUTY,others,BEAUTY,1
352,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
353,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
354,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
355,2002214045,PHC,PHC,PHC,2
356,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
357,2002213931,MULTI GROC,MULTI GROC,MULTI GROC,2
358,2002213853,PHC,others,PHC,3
359,2002213896,MULTI GROH,MULTI GROH,MULTI GROH,2
360,2002213974,APPLIANCE,others,MULTI GROC,4
361,999999999,BABY,BABY,BABY,2
362,2002214045,PHC,PHC,PHC,2
363,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
364,2002214045,BEAUTY,others,BEAUTY,1
365,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
366,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
367,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
368,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
369,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
